127.0.0.1 - - [23/Sep/2021:20:53:59 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [23/Sep/2021:20:54:00 +0900] "GET /semiProject/ HTTP/1.1" 200 19863
0:0:0:0:0:0:0:1 - - [23/Sep/2021:20:54:00 +0900] "GET /semiProject/resources/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Sep/2021:20:54:00 +0900] "GET /semiProject/resources/css/flaticon.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Sep/2021:20:54:00 +0900] "GET /semiProject/resources/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Sep/2021:20:54:00 +0900] "GET /semiProject/resources/css/elegant-icons.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Sep/2021:20:54:00 +0900] "GET /semiProject/resources/css/barfiller.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Sep/2021:20:54:00 +0900] "GET /semiProject/resources/css/nice-select.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Sep/2021:20:54:00 +0900] "GET /semiProject/resources/css/owl.carousel.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Sep/2021:20:54:00 +0900] "GET /semiProject/resources/css/slicknav.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Sep/2021:20:54:00 +0900] "GET /semiProject/resources/css/magnific-popup.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Sep/2021:20:54:00 +0900] "GET /semiProject/resources/css/jquery-ui.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Sep/2021:20:54:00 +0900] "GET /semiProject/resources/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Sep/2021:20:54:00 +0900] "GET /semiProject/resources/js/jquery-3.3.1.min.js HTTP/1.1" 200 86929
0:0:0:0:0:0:0:1 - - [23/Sep/2021:20:54:00 +0900] "GET /semiProject/resources/js/jquery-ui.min.js HTTP/1.1" 200 253681
0:0:0:0:0:0:0:1 - - [23/Sep/2021:20:54:00 +0900] "GET /semiProject/resources/js/jquery.nicescroll.min.js HTTP/1.1" 200 60011
0:0:0:0:0:0:0:1 - - [23/Sep/2021:20:54:00 +0900] "GET /semiProject/resources/js/bootstrap.min.js HTTP/1.1" 200 60016
0:0:0:0:0:0:0:1 - - [23/Sep/2021:20:54:00 +0900] "GET /semiProject/resources/js/jquery.nice-select.min.js HTTP/1.1" 200 2945
0:0:0:0:0:0:0:1 - - [23/Sep/2021:20:54:00 +0900] "GET /semiProject/resources/js/jquery.magnific-popup.min.js HTTP/1.1" 200 20219
0:0:0:0:0:0:0:1 - - [23/Sep/2021:20:54:00 +0900] "GET /semiProject/resources/js/jquery.barfiller.js HTTP/1.1" 200 6423
0:0:0:0:0:0:0:1 - - [23/Sep/2021:20:54:00 +0900] "GET /semiProject/resources/js/jquery.slicknav.js HTTP/1.1" 200 21561
0:0:0:0:0:0:0:1 - - [23/Sep/2021:20:54:00 +0900] "GET /semiProject/resources/js/owl.carousel.min.js HTTP/1.1" 200 44348
0:0:0:0:0:0:0:1 - - [23/Sep/2021:20:54:00 +0900] "GET /semiProject/resources/js/main.js HTTP/1.1" 200 4849
0:0:0:0:0:0:0:1 - - [23/Sep/2021:20:54:00 +0900] "GET /semiProject/resources/js/modernizr.min.js HTTP/1.1" 200 10954
0:0:0:0:0:0:0:1 - - [23/Sep/2021:20:54:00 +0900] "GET /semiProject/resources/js/classie.js HTTP/1.1" 200 1915
0:0:0:0:0:0:0:1 - - [23/Sep/2021:20:54:00 +0900] "GET /semiProject/resources/js/photostack.js HTTP/1.1" 200 14838
0:0:0:0:0:0:0:1 - - [23/Sep/2021:20:54:00 +0900] "GET /semiProject/resources/img/Logo.png HTTP/1.1" 200 6148
0:0:0:0:0:0:0:1 - - [23/Sep/2021:20:54:00 +0900] "GET /semiProject/resources/img/map_1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Sep/2021:20:54:00 +0900] "GET /semiProject/resources/img/Logo_D_1.png HTTP/1.1" 200 6195
